#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:34187567	(2021) MicroRNAs: emerging driver of cancer perineural invasion.	5	104	1.97	0.0049	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000401399	CCR5,CX3CR1,FGFR1,RHOA,MYD88
PMID:28747343	(2017) The Development of Steady-State Activation Hubs between Adult LTi ILC3s and Primed Macrophages in Small Intestine.	3	42	2.15	0.0486	9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000403495	CX3CR1,MYD88,LTA
PMID:25412683	(2014) (Lymph)angiogenic influences on hematopoietic cells in acute myeloid leukemia.	3	42	2.15	0.0486	9606.ENSP00000351059,9606.ENSP00000393312,9606.ENSP00000480043	CX3CR1,FGFR1,VEGFC
PMID:35280878	(2022) Association of Viral Infection With the Development and Pathogenesis of Systemic Lupus Erythematosus.	3	43	2.14	0.0495	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:35303109	(2022) Modulation of the Activity of Stem and Progenitor Cells by Immune Cells.	3	43	2.14	0.0495	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:33046850	(2021) Myocarditis and inflammatory cardiomyopathy: current evidence and future directions.	3	43	2.14	0.0495	9606.ENSP00000155840,9606.ENSP00000292303,9606.ENSP00000351059	KCNQ1,CCR5,CX3CR1
PMID:34447750	(2021) Potential Strategies to Improve the Effectiveness of Drug Therapy by Changing Factors Related to Tumor Microenvironment.	3	43	2.14	0.0495	9606.ENSP00000292303,9606.ENSP00000400175,9606.ENSP00000480043	CCR5,RHOA,VEGFC
PMID:34778094	(2021) Recent Advances in the Mechanism Research and Clinical Treatment of Anti-Angiogenesis in Biliary Tract Cancer.	3	43	2.14	0.0495	9606.ENSP00000393312,9606.ENSP00000400175,9606.ENSP00000480043	FGFR1,RHOA,VEGFC
PMID:32111741	(2020) The Parkinsons disease-associated kinase LRRK2 regulates genes required for cell adhesion, polarization, and chemotaxis in activated murine macrophages.	3	44	2.13	0.0495	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000401399	CCR5,CX3CR1,MYD88
PMID:30783017	(2019) Gut microbiota regulates lacteal integrity by inducing VEGF-C in intestinal villus macrophages.	2	2	3.29	0.0495	9606.ENSP00000401399,9606.ENSP00000480043	MYD88,VEGFC
PMID:31179346	(2019) The Evolving Roles of Macrophages in Organ Transplantation.	3	43	2.14	0.0495	9606.ENSP00000292303,9606.ENSP00000351059,9606.ENSP00000400175	CCR5,CX3CR1,RHOA
PMID:30254843	(2018) Immune mechanisms in the different phases of acute tubular necrosis.	3	43	2.14	0.0495	9606.ENSP00000351059,9606.ENSP00000401399,9606.ENSP00000480043	CX3CR1,MYD88,VEGFC
PMID:30301858	(2018) Host-Pathogen Interactions: What the EHEC Are We Learning from Host Genome-Wide Screens?	2	2	3.29	0.0495	9606.ENSP00000292303,9606.ENSP00000400175	CCR5,RHOA
PMID:27118566	(2016) Associations of fractalkine receptor (CX3CR1) and CCR5 gene variants with hypertension, diabetes and atherosclerosis in chronic renal failure patients undergoing hemodialysis.	2	2	3.29	0.0495	9606.ENSP00000292303,9606.ENSP00000351059	CCR5,CX3CR1
PMID:27840390	(2016) Maintenance of gut homeostasis by the mucosal immune system.	3	44	2.13	0.0495	9606.ENSP00000351059,9606.ENSP00000379472,9606.ENSP00000401399	CX3CR1,CCK,MYD88
PMID:21744265	(2012) Polymorphism in chemokine receptor genes and risk of acute myocardial infarction in North Indian population.	2	2	3.29	0.0495	9606.ENSP00000292303,9606.ENSP00000351059	CCR5,CX3CR1
PMID:21820915	(2011) Analysis of CCR5 and CX3CR1 gene polymorphisms in association with unexplained recurrent miscarriages among north Indian women.	2	2	3.29	0.0495	9606.ENSP00000292303,9606.ENSP00000351059	CCR5,CX3CR1
PMID:18216164	(2008) Evidence for KCNQ1 K+ channel expression in rat zymogen granule membranes and involvement in cholecystokinin-induced pancreatic acinar secretion.	2	2	3.29	0.0495	9606.ENSP00000155840,9606.ENSP00000379472	KCNQ1,CCK
PMID:17767794	(2007) Toxoplasma gondii induces changes in intracellular calcium in macrophages.	2	2	3.29	0.0495	9606.ENSP00000292303,9606.ENSP00000401399	CCR5,MYD88
